file,page_num,Clear,Trash,Noisy,Empty,Non-text
CTX199904249,1,0,4,6,0,2
CTX199904249,2,0,12,29,0,2
CTX199904249,3,0,14,32,0,1
CTX199904249,4,0,15,32,0,1
CTX199904249,5,0,7,23,0,5
CTX199904249,6,0,4,10,0,8
CTX199904249,7,0,4,3,0,5
CTX199904249,8,0,25,16,0,16
CTX199904249,9,0,31,16,0,1
CTX199904249,10,0,33,14,0,1
CTX199904249,11,1,29,17,0,2
CTX199904249,12,2,30,15,0,1
CTX199904249,13,0,31,14,0,2
CTX199904249,14,0,31,16,0,1
CTX199904249,15,0,31,17,0,1
CTX199904249,16,0,29,17,0,2
CTX199904249,17,0,34,14,0,1
CTX199904249,18,1,32,14,0,1
CTX199904249,19,0,32,15,0,1
CTX199904249,20,1,28,17,0,2
CTX199904249,21,0,32,12,0,4
CTX199904249,22,0,34,13,0,1
CTX199904249,23,0,31,16,0,1
CTX199904249,24,0,29,17,0,3
CTX199904249,25,0,32,13,0,4
CTX199904249,26,0,29,16,0,3
CTX199904249,27,1,32,14,0,1
CTX199904249,28,0,31,16,0,1
CTX199904249,29,0,31,16,0,1
CTX199904249,30,0,32,14,0,1
CTX199904249,31,0,29,15,0,4
CTX199904249,32,0,31,16,0,2
CTX199904249,33,0,25,19,0,5
CTX199904249,34,0,28,18,0,1
CTX199904249,35,1,26,20,0,2
CTX199904249,36,1,31,14,0,2
CTX199904249,37,2,28,15,0,3
CTX199904249,38,0,32,13,0,3
CTX199904249,39,0,31,13,0,5
CTX199904249,40,0,27,15,0,7
CTX199904249,41,0,29,14,0,5
CTX199904249,42,0,32,14,0,3
CTX199904249,43,1,26,16,0,5
CTX199904249,44,1,32,13,0,3
CTX199904249,45,0,25,20,0,3
CTX199904249,46,0,31,15,0,3
CTX199904249,47,1,29,14,0,4
CTX199904249,48,0,29,13,0,5
CTX199904249,49,1,27,15,0,6
CTX199904249,50,0,29,17,0,2
CTX199904249,51,0,28,17,0,4
CTX199904249,52,0,28,18,0,2
CTX199904249,53,0,30,15,0,4
CTX199904249,54,0,29,16,0,4
CTX199904249,55,0,32,15,0,1
CTX199904249,56,0,31,14,0,3
CTX199904249,57,0,32,14,0,1
CTX199904249,58,0,32,15,0,1
CTX199904249,59,0,29,15,0,5
CTX199904249,60,0,30,13,0,4
CTX199904249,61,0,29,16,0,3
CTX199904249,62,0,31,16,0,1
CTX199904249,63,0,30,16,0,2
CTX199904249,64,0,31,16,0,1
CTX199904249,65,0,29,15,0,4
CTX199904249,66,0,30,16,0,1
CTX199904249,67,0,30,16,0,3
CTX199904249,68,1,33,13,0,1
CTX199904249,69,0,28,18,0,2
CTX199904249,70,0,29,17,0,3
CTX199904249,71,0,31,14,0,3
CTX199904249,72,0,35,12,0,1
CTX199904249,73,0,35,12,0,1
CTX199904249,74,0,31,14,0,2
CTX199904249,75,0,31,15,0,2
CTX199904249,76,0,34,16,0,1
CTX199904249,77,0,31,16,0,1
CTX199904249,78,0,32,14,0,2
CTX199904249,79,0,28,18,0,1
CTX199904249,80,1,31,15,0,1
CTX199904249,81,0,27,18,0,4
CTX199904249,82,0,33,14,0,1
CTX199904249,83,0,32,15,0,1
CTX199904249,84,0,33,14,0,1
CTX199904249,85,1,31,15,0,1
CTX199904249,86,0,29,18,0,1
CTX199904249,87,2,17,28,0,2
CTX199904249,88,1,2,47,0,1
CTX199904249,89,1,2,46,0,2
CTX199904249,90,2,2,45,0,2
CTX199904249,91,1,1,48,0,1
CTX199904249,92,1,2,47,0,1
CTX199904249,93,2,6,37,0,4
CTX199904249,94,2,4,36,0,9
CTX199904249,95,0,7,38,0,5
CTX199904249,96,1,2,46,0,1
CTX199904249,97,1,2,25,0,2
CTX199904249,98,1,0,1,0,1
CTX199904249,99,0,1,2,0,3
CTX199904249,100,0,0,2,0,1
CTX199904249,101,0,0,2,0,1
CTX199904249,102,0,0,0,0,1
CTX199904249,103,0,0,0,0,1
CTX199904249,104,0,0,2,0,3
CTX199904249,105,0,0,0,0,1
