keyword,score
r roč,4.00
navrhované čs,4.00
silniční magistrále,4.00
maďarské hranici,4.00
čemuž napomáhalo,4.00
vo voudálosti,4.00
černému moři,4.00
— ať,4.00
půjde-li cesta,4.00
západní evropy,4.00
vý výtak,4.00
průmyslové kruhy,4.00
rumunskou vládou,4.00
černém moři,4.00
jednali prý,4.00
povolaní činitelé,4.00
pozříditi čs,4.00
rychlým tempem,4.00
těchto příprav,4.00
značný vliv,4.00
novém státě,4.00
prospěch států,4.00
hospodář ským,4.00
dů důvojenských,4.00
mnohem větší,4.00
podkar podkarrusi,4.00
ob obbyly,4.00
mobilisace čs,4.00
zorganisoval sily,4.00
takovou energii,4.00
důklad důkladže,4.00
česko-slo česko-slodálnice,4.00
miveřejných prací,4.00
ministerstvy financí,4.00
členy vlády,4.00
podkarpatské rusi,4.00
konce r,4.00
rumun rumunhranici,4.00
prů průmista,4.00
sledovali úmysl,4.00
lyským průsmykem,4.00
maďarsku žádali,4.00
silniční spoje,4.00
vojenská správa,4.00
připojených územích,4.00
karel míša,4.00
usta ustaihned,4.00
vladi vladihájek,4.00
jan veselý,4.00
pomocných orgánů,4.00
vyža vyžapoměry,4.00
vytčený program,4.00
budově rop,4.00
úředníci silničního,4.00
trasu moravskou,4.00
vzdušná spojnice,4.00
topogra topograplánu,4.00
tra traa,4.00
podrobně zkoumána,4.00
polygonu měřila,4.00
sou soudálnice,4.00
přemostění vltavy,4.00
brali zřetel,4.00
mí mía,4.00
českých hranic,4.00
údolím litavy,4.00
slovenské hranici,4.00
dose slováky,4.00
přileži- žitosti,4.00
prohlídky sešli,4.00
zástupci slováku,4.00
slováci žádali,4.00
zá záslovenska,4.00
sou soui,4.00
velké bytče,4.00
terén sesuvný,4.00
velyským průsmykem,4.00
jisté potíže,4.00
dosti těsné,4.00
velikosti poloměru,4.00
upra uprabankety,4.00
střední pás,4.00
mani maniprostor,4.00
provedeni vozovek,4.00
tratích přímých,4.00
veliteli sds,4.00
jednotkových cenách,4.00
prose zavázali,4.00
nejrychleji provedeny,4.00
pěkného počasí,4.00
vypracování generálních,4.00
projektan projektanzadáno,4.00
pozdější dobu,4.00
podrobně pojednáno,4.00
nej nejurychlením,4.00
mezinárodních vztazích,4.00
nej důležitější,4.00
východní marky,4.00
provozovat bag,4.00
všemi přípravami,4.00
troj proudová,4.00
dominika čiperu,4.00
ba ti,4.00
noskovi udělena,4.00
vládním nařízením,4.00
ka kachmel,4.00
důležitá ustanoveni,4.00
generálni ředitel,4.00
výkonnými orgány,4.00
věcech souvisících,4.00
těmito stavbami,4.00
vložena každoročně,4.00
částka vložená,4.00
zapůjče zapůjčegen,4.00
vlastní složky,4.00
— úpravy,4.00
přednosta ii,4.00
rada dr,4.00
žitná ul8,4.00
interesovanými úřady,4.00
dost námitek,4.00
různým překážkám,4.00
jinými městy,4.00
kolíně n,4.00
jednom místě,4.00
dálniční síť,4.00
nesmi stýkat,4.00
jednom bodě,4.00
celém obvodě,4.00
obou směrech,4.00
vozovkami dvouproudovými,4.00
jednoproudových vozovkách,4.00
jiným účelům,4.00
řepo- ryj,4.00
jižně horoměřic,4.00
probíhala sev,4.00
dolních chaber,4.00
svého konce,4.00
trasována posázavím,4.00
velkých nákladů,4.00
