keyword,score
některých případech,8.00
mám zato,8.00
charakteru robot,8.00
„zadní obor,8.00
nových hradů,8.00
št- nec,8.00
nelze vyloučit,8.00
drobné sídliště,8.00
mapě chrudimska,8.00
půdorys msta,7.95
hranice katastru,7.88
sv vi,7.86
vysokého mýta,7.75
nálezy minef,7.73
nálezy minof,7.73
nálezy mincí,7.73
jz val,7.71
pdorys val,7.71
archeologický materiál,7.69
vysoké mýto,7.69
intravilánu obce,7.67
pomístní jména,7.67
j vui,7.64
„za humny,7.60
j trati,7.53
álezy mincí,7.50
suchou lhotu,7.50
sv vsi,7.46
p0dorys vsi,7.46
-sv vsi,7.46
jy vsi,7.46
jv vsi,7.46
jmóno vsi,7.46
jnáno vsi,7.46
pdorys vsi,7.46
jndno vsi,7.46
3néno vsi,7.46
tma rez,7.42
možno uvažovat,7.42
půdorys vsi,7.41
j vsi,7.39
výše odat,7.38
jméno vsi,7.33
476a sig,7.30
sz vsi,7.29
jméno vsí,7.29
kostel vznikl,7.27
zboží hs,7.27
p0dorys vei,7.24
av vei,7.24
třeba uvažovat,7.24
brandýs n,7.20
* jv,7.19
zbytek vlnice,7.17
okraje vsi,7.16
p0dorys vai,7.13
pdorys vai,7.13
av vai,7.13
j vai,7.06
části vai,7.01
okraji vsi,6.94
rýha h,6.91
stř stř,6.90
-4 /,6.81
/ rust,6.81
zástavby vsi,6.79
476a sign,6.67
konce vsi,6.59
dolní /,6.47
507a sign,6.46
* h,6.43
stř vytáč,6.43
extract str,6.42
extrect str,6.42
extraot str,6.42
konci vsi,6.40
poli c,6.34
-25 /,6.31
plužina ves,6.27
benátky b,6.25
bonita neudána,6.19
/ •,6.15
sti vytáč,6.15
/ reg,6.14
/ *,6.00
* les,5.97
tamtéž str,5.92
loučnou /,5.66
objekt č,5.63
-20 /,5.56
-10 /,5.34
století /,5.27
denárovém nálezu,4.00
dokumenta dokumentas,4.00
otázce kostelů,4.00
regionální literatury,4.00
našem regionu,4.00
zničily změny,4.00
dislokaci krčem,4.00
napoclody zabývel,4.00
jediný den,4.00
