file,page,Clear,Non-text,Trash,Noisy,Empty
CTX199600359,1,6,0,0,0,0
CTX199600359,2,2,0,0,0,0
CTX199600359,3,24,2,0,0,0
CTX199600359,4,24,0,0,0,0
CTX199600359,5,26,1,0,0,0
CTX199600359,6,29,1,0,0,0
CTX199600359,7,29,1,0,0,0
CTX199600359,8,29,1,0,0,0
CTX199600359,9,29,1,0,0,0
CTX199600359,10,22,1,0,0,0
CTX199600359,11,28,1,0,0,0
CTX199600359,12,29,1,0,0,0
CTX199600359,13,26,2,0,0,0
CTX199600359,14,29,2,0,0,0
CTX199600359,15,28,2,0,0,0
CTX199600359,16,29,1,0,0,0
CTX199600359,17,28,1,0,0,0
CTX199600359,18,29,1,0,0,0
CTX199600359,19,28,2,0,0,0
CTX199600359,20,27,1,0,0,0
CTX199600359,21,29,1,0,0,0
CTX199600359,22,29,1,0,0,0
CTX199600359,23,25,2,0,0,0
CTX199600359,24,28,1,0,0,0
CTX199600359,25,27,1,0,0,0
CTX199600359,26,29,1,0,0,0
CTX199600359,27,29,2,0,0,0
CTX199600359,28,29,1,0,0,0
CTX199600359,29,27,1,0,0,0
CTX199600359,30,23,2,0,0,0
CTX199600359,31,29,1,0,0,0
CTX199600359,32,26,1,0,0,0
CTX199600359,33,29,1,0,0,0
CTX199600359,34,29,1,0,0,0
CTX199600359,35,28,2,0,0,0
CTX199600359,36,29,1,0,0,0
CTX199600359,37,29,1,0,0,0
CTX199600359,38,29,1,0,0,0
CTX199600359,39,29,2,0,0,0
CTX199600359,40,28,1,0,0,0
CTX199600359,41,27,1,0,0,0
CTX199600359,42,27,3,0,0,0
CTX199600359,43,28,1,0,0,0
CTX199600359,44,29,1,0,0,0
CTX199600359,45,27,1,0,0,0
CTX199600359,46,20,1,0,0,0
CTX199600359,47,32,1,0,0,0
CTX199600359,48,35,1,0,0,0
CTX199600359,49,34,1,0,0,0
CTX199600359,50,33,1,0,0,0
CTX199600359,51,31,3,0,0,0
CTX199600359,52,33,4,0,0,0
CTX199600359,53,32,4,0,0,0
CTX199600359,54,35,2,0,0,0
CTX199600359,55,32,3,0,0,0
CTX199600359,56,35,2,0,0,0
CTX199600359,57,35,2,0,0,0
CTX199600359,58,31,3,0,0,0
CTX199600359,59,33,3,0,0,0
CTX199600359,60,36,2,0,0,0
CTX199600359,61,35,1,0,0,0
CTX199600359,62,35,2,0,0,0
CTX199600359,63,33,2,0,0,0
CTX199600359,64,35,1,0,0,0
CTX199600359,65,36,1,0,0,0
CTX199600359,66,33,1,0,0,0
CTX199600359,67,34,2,0,0,0
CTX199600359,68,28,3,0,0,0
CTX199600359,69,27,2,0,0,0
CTX199600359,70,72,18,0,0,0
CTX199600359,71,73,16,0,0,0
CTX199600359,72,76,31,0,0,0
CTX199600359,73,78,23,0,0,0
CTX199600359,74,73,21,0,0,0
CTX199600359,75,80,20,0,0,0
CTX199600359,76,69,25,0,0,0
CTX199600359,77,67,22,0,0,0
CTX199600359,78,66,25,0,0,0
CTX199600359,79,74,20,0,0,0
CTX199600359,80,62,23,0,0,0
CTX199600359,81,70,29,0,0,0
CTX199600359,82,69,25,0,0,0
CTX199600359,83,54,23,0,0,0
CTX199600359,84,62,24,0,0,0
CTX199600359,85,67,28,0,0,0
CTX199600359,86,66,22,0,0,0
CTX199600359,87,77,19,0,0,0
CTX199600359,88,69,22,0,0,0
CTX199600359,89,70,27,0,0,0
CTX199600359,90,71,26,0,0,0
CTX199600359,91,75,29,0,0,0
CTX199600359,92,65,24,0,0,0
CTX199600359,93,63,28,0,0,0
CTX199600359,94,64,27,0,0,0
CTX199600359,95,66,21,0,0,0
CTX199600359,96,60,29,0,0,0
CTX199600359,97,64,27,0,0,0
CTX199600359,98,65,26,0,0,0
CTX199600359,99,67,32,0,0,0
CTX199600359,100,61,25,0,0,0
CTX199600359,101,71,29,0,0,0
CTX199600359,102,56,32,0,0,0
CTX199600359,103,62,32,0,0,0
CTX199600359,104,60,29,0,0,0
CTX199600359,105,67,32,0,0,0
CTX199600359,106,64,26,0,0,0
CTX199600359,107,50,18,0,0,0
CTX199600359,108,39,13,0,0,0
CTX199600359,109,31,21,0,0,0
CTX199600359,110,33,17,0,0,0
CTX199600359,111,39,18,0,0,0
CTX199600359,112,35,14,0,0,0
CTX199600359,113,37,16,0,0,0
CTX199600359,114,34,22,0,0,0
CTX199600359,115,37,18,0,0,0
CTX199600359,116,37,15,0,0,0
CTX199600359,117,39,15,0,0,0
CTX199600359,118,41,13,0,0,0
CTX199600359,119,38,15,0,0,0
CTX199600359,120,36,18,0,0,0
CTX199600359,121,43,13,0,0,0
CTX199600359,122,33,19,0,0,0
CTX199600359,123,36,18,0,0,0
CTX199600359,124,38,11,0,0,0
CTX199600359,125,41,13,0,0,0
CTX199600359,126,37,17,0,0,0
CTX199600359,127,40,15,0,0,0
CTX199600359,128,48,8,0,0,0
CTX199600359,129,37,10,0,0,0
CTX199600359,130,29,16,0,0,0
CTX199600359,131,29,17,0,0,0
CTX199600359,132,13,0,0,0,0
CTX199600359,133,26,1,0,0,0
CTX199600359,134,34,3,0,0,0
CTX199600359,135,32,1,0,0,0
CTX199600359,136,12,2,0,0,0
CTX199600359,137,4,0,0,0,0
CTX199600359,138,4,0,0,0,0
CTX199600359,139,3,0,0,0,0
CTX199600359,140,4,0,0,0,0
CTX199600359,141,4,4,0,0,0
CTX199600359,142,4,0,0,0,0
CTX199600359,143,5,0,0,0,0
CTX199600359,144,4,0,0,0,0
CTX199600359,145,5,2,0,0,0
CTX199600359,146,0,3,0,0,0
CTX199600359,147,3,0,0,0,0
CTX199600359,148,0,7,0,0,0
CTX199600359,149,2,0,0,0,0
