document_id,keyword1,score1,keyword2,score2,keyword3,score3,keyword4,score4,keyword5,score5,keyword6,score6,keyword7,score7,keyword8,score8,keyword9,score9,keyword10,score10
CTX192000036,h-ad1420- zároveň,4.0,vyřizují čís,4.0,noun icalo/,4.0,ouadu lolce,4.0,kdu 6wcuu,4.0,edlee došlo,4.0,popis spisu,4.0,budiž skartováno,4.0,/u n,4.0,a6 mlur,4.0
CTX192000079,la nde3ítenkm,4.0,pjarrer t,4.0,karl karajtat,4.0,museunskus t,4.0,ich habe,4.0,besirk dux,4.0,der landeskenseruater,4.0,in hfl,4.0,w2o,1.0,alam,1.0
CTX192000079A,e $,4.0,awe o-ve,4.0,el tz,4.0,b *,4.0,1//0 ivrak,4.0,dat qvovtunlouduunn,4.0,ičekto anduuek,4.0,t 80y,4.0,konia ।,4.0,wanmact o4olaual,4.0
CTX192000122,došlo dnez/,4.0,bohušovicích n/ohří,4.0,praze prosím,4.0,abyste prominuli,4.0,července t,4.0,mne omluvíte,4.0,nebot ujištuji,4.0,nebylo možno,4.0,předměty nalezeny,4.0,brůži č,4.0
CTX192100093,c l,4.0,odpovědi budiž,4.0,ple oľolaond,4.0,■■ ot,4.0,wor- w,4.0,praze čís,3.5,čís,1.5,ť 11,1.0,u17,1.0,výpravna,1.0
CTX192100488,t n,4.0,á achazologicky,4.0,t á,4.0,praž e,4.0,výzkum sídliště,4.0,tvrze hrádku,4.0,zdejšímu č,4.0,praha iv,4.0,praze vyplatíš,4.0,pohledávkynaší obnos,4.0
CTX192200171,žák obchodník,4.0,kopání základu,4.0,staré hroby,4.0,jedeh otevřeli,4.0,maji p,4.0,nějaký den,4.0,dalším kopáním,4.0,přijde odborník,4.0,shlédl místo,4.0,ohledal vše,4.0
CTX192200216,statni c,4.0,archaeologicky ustav,4.0,předmět a-a,4.0,markétě protivovým,4.0,železné kování,4.0,jmenované věci,4.0,nálezu činí,4.0,popiš nečitelný,4.0,dáno svolení,4.0,markete protivovým,4.0
CTX192200261,ředitel měšť,4.0,zároveň sa,4.0,kopání hrobů,4.0,příbramské mušený,4.0,pena ředitele,4.0,něco výše,4.0,několik dní,4.0,m n_n,4.0,_ školy,3.5,jelikož tam,3.5
CTX192300220,popelnice odneseny,4.0,ministerský rada,4.0,inisterstvo školství,4.0,národní osvěty,4.0,e iv,4.0,str ahov,4.0,opis,1.0,kolíně,1.0,19120/2,1.0,dne 24,1.0
